root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 dst 198.211.111.194
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
06:09:23.388700 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 1209907767:1209907895, ack 768175205, win 501, options [nop,nop,TS val 3589594118 ecr 1478113005], length 128
06:09:23.388764 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 128:192, ack 1, win 501, options [nop,nop,TS val 3589594118 ecr 1478113005], length 64
06:09:23.388797 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 192:272, ack 1, win 501, options [nop,nop,TS val 3589594118 ecr 1478113005], length 80
06:09:23.388828 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 272:352, ack 1, win 501, options [nop,nop,TS val 3589594118 ecr 1478113005], length 80
06:09:23.388860 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 352:432, ack 1, win 501, options [nop,nop,TS val 3589594118 ecr 1478113005], length 80
06:09:23.388987 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 432:496, ack 1, win 501, options [nop,nop,TS val 3589594118 ecr 1478113005], length 64
06:09:23.496512 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 496:752, ack 1, win 501, options [nop,nop,TS val 3589594226 ecr 1478113027], length 256
06:09:23.496639 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 752:1056, ack 1, win 501, options [nop,nop,TS val 3589594226 ecr 1478113027], length 304
06:09:23.496688 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 1056:1120, ack 1, win 501, options [nop,nop,TS val 3589594226 ecr 1478113027], length 64
06:09:23.496729 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 1120:1360, ack 1, win 501, options [nop,nop,TS val 3589594226 ecr 1478113027], length 240
06:09:23.496777 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 1360:1424, ack 1, win 501, options [nop,nop,TS val 3589594226 ecr 1478113027], length 64
06:09:23.496839 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 1424:1664, ack 1, win 501, options [nop,nop,TS val 3589594226 ecr 1478113027], length 240
06:09:23.496881 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 1664:1728, ack 1, win 501, options [nop,nop,TS val 3589594226 ecr 1478113027], length 64
06:09:23.496943 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 1728:1968, ack 1, win 501, options [nop,nop,TS val 3589594226 ecr 1478113027], length 240
